Id,abstract,authors,category,date,link,primary_subject,subjects,title
arXiv:1907.00023,"  Assuming dislocations could be meaningfully described by torsion, we propose
here a scenario based on the role of time in the low-energy regime of
two-dimensional Dirac materials, for which coupling of the fully antisymmetric
component of the torsion with the emergent spinor is not necessarily zero.
Appropriate inclusion of time is our proposal to overcome well-known
geometrical obstructions to such a program, that stopped further research of
this kind. In particular, our approach is based on the realization of an exotic
time-loop, that could be seen as oscillating particle-hole pairs. Although this
is a theoretical paper, we moved the first steps towards testing the
realization of these scenarios, by envisaging Gedankenexperiments on the
interplay between an external electromagnetic field (to excite the pair
particle-hole and realize the time-loops), and a suitable distribution of
dislocations described as torsion (responsible for the measurable holonomy in
the time-loop, hence a current). Our general analysis here establishes that we
need to move to a nonlinear response regime. We then conclude by pointing to
recent results from the interaction laser-graphene that could be used to look
for manifestations of the torsion-induced holonomy of the time-loop, e.g., as
specific patterns of suppression/generation of higher harmonics.
","Marcelo F. Ciappina,Alfredo Iorio,Pablo Pais,Adamantia Zampeli",High Energy Physics - Theory,"Fri, 8 Nov 2019 19:00:22 UTC (640 KB)",https://arxiv.org/pdf/1907.00023.pdf,High Energy Physics - Theory (hep-th),Materials Science (cond-mat.mtrl-sci); General Relativity and Quantum Cosmology (gr-qc),Torsion in quantum field theory through time-loops on Dirac materials
arXiv:1907.00024,"  We construct and study the reduced, relative, genus one Gromov-Witten theory
of very ample pairs. These invariants form the principal component contribution
to relative Gromov-Witten theory in genus one and are relative versions of
Zinger's reduced Gromov-Witten invariants. We relate the relative and absolute
theories by degeneration of the tangency conditions, and the resulting formulas
generalise a well-known recursive calculation scheme put forward by Gathmann in
genus zero. The geometric input is a desingularisation of the principal
component of the moduli space of genus one logarithmic stable maps to a very
ample pair, using the geometry of elliptic singularities. Our study passes
through general techniques for calculating integrals on logarithmic blowups of
moduli spaces of stable maps, which may be of independent interest.
","Luca Battistella,Navid Nabijou,Dhruv Ranganathan",Mathematics,"Fri, 28 Jun 2019 18:20:02 UTC (118 KB)",https://arxiv.org/pdf/1907.00024.pdf,Algebraic Geometry (math.AG),Algebraic Geometry (math.AG),Curve counting in genus one: elliptic singularities & relative geometry
arXiv:1907.00026,"  We investigate the dynamical properties of a type-II optical parametric
oscillator pumped by a structured light beam carrying orbital angular momentum.
Different dynamical regimes are theoretically derived and experimentally
demonstrated, depending on the anisotropy effects imposed by the nonlinear
medium. In a weakly anisotropic regime, fine-tuning of the orbital angular
momentum transfer is obtained by adjusting the crystal parameters. Under strong
anisotropy, orbital angular momentum transfer is not possible and a sharp
dynamical behavior is observed, with abrupt switching between different
transverse modes.
","R. F. Barros,G. B. Alves,D. S. Tasca,C. E. R. Souza,A. Z. Khoury",Physics,"Fri, 28 Jun 2019 18:28:43 UTC (1,286 KB)",https://arxiv.org/pdf/1907.00026.pdf,Optics (physics.optics),Optics (physics.optics),Fine-tuning of orbital angular momentum in an optical parametric oscillator
arXiv:1907.00027,"  Spurious junk radiation in the initial data for binary black hole numerical
simulations has been an issue of concern. The radiation affects the masses and
spins of the black holes, modifying their orbital dynamics and thus potentially
compromising the accuracy of templates used in gravitational wave analysis. Our
study finds that junk radiation effects are localized to the vicinity of the
black holes. Using insights from single black hole simulations, we obtain
fitting formulas to estimate the changes from junk radiation on the mass and
spin magnitude of the black holes in binary systems. We demonstrate how these
fitting formulas could be used to adjust the initial masses and spin magnitudes
of the black holes, so the resulting binary has the desired parameters after
the junk radiation has left the computational domain. A comparison of waveforms
from raw simulations with those from simulations that have been adjusted for
junk radiation demonstrate that junk radiation could have an appreciable effect
on the templates for LIGO sources with SNRs above 30.
","Kenny Higginbotham,Bhavesh Khamesra,Jame P. McInerney,Karan Jani,Deirdre M. Shoemaker,Pablo Laguna",General Relativity and Quantum Cosmology,"Fri, 28 Jun 2019 18:29:22 UTC (2,055 KB)",https://arxiv.org/pdf/1907.00027.pdf,General Relativity and Quantum Cosmology (gr-qc),High Energy Astrophysical Phenomena (astro-ph.HE),Coping with Junk Radiation in Binary Black Hole Simulations
arXiv:1907.00028,"  Glomeruli are histological structures of the kidney cortex formed by
interwoven blood capillaries, and are responsible for blood filtration.
Glomerular lesions impair kidney filtration capability, leading to protein loss
and metabolic waste retention. An example of lesion is the glomerular
hypercellularity, which is characterized by an increase in the number of cell
nuclei in different areas of the glomeruli. Glomerular hypercellularity is a
frequent lesion present in different kidney diseases. Automatic detection of
glomerular hypercellularity would accelerate the screening of scanned
histological slides for the lesion, enhancing clinical diagnosis. Having this
in mind, we propose a new approach for classification of hypercellularity in
human kidney images. Our proposed method introduces a novel architecture of a
convolutional neural network (CNN) along with a support vector machine,
achieving near perfect average results with the FIOCRUZ data set in a binary
classification (lesion or normal). Our deep-based classifier outperformed the
state-of-the-art results on the same data set. Additionally, classification of
hypercellularity sub-lesions was also performed, considering mesangial,
endocapilar and both lesions; in this multi-classification task, our proposed
method just failed in 4\% of the cases. To the best of our knowledge, this is
the first study on deep learning over a data set of glomerular hypercellularity
images of human kidney.
","Paulo Chagas,Luiz Souza,Ikaro Araújo,Nayze Aldeman,Angelo Duarte,Michele Angelo,Washington LC dos-Santos,Luciano Oliveira",Electrical Engineering and Systems Science,"Fri, 28 Jun 2019 18:29:45 UTC (4,106 KB)",https://arxiv.org/pdf/1907.00028.pdf,Image and Video Processing (eess.IV),Computer Vision and Pattern Recognition (cs.CV),Classification of glomerular hypercellularity using convolutional features and support vector machine
arXiv:1907.00029,"  Non-stationary rotational surface waves are considered, where the underlying
current has constant vorticity. A study is presented on the robustness of a
critical layer in the presence of a bottom topography, as well as on its
spontaneous formation for waves generated from rest. The restriction, from
previous studies, to a traveling-wave formulation is removed leading to a
non-stationary set of equations. In this setting streamlines are not
necessarily pathlines. Particle-trajectories are found evolving the respective
submarine dynamical system with a cloud of tracers. Pathlines are then
visualized and the respective submarine structures identified. Robustness is
illustrated through surface waves interacting with topographic undulations. The
respective Kelvin cat eye structure dynamically adjusts itself over the bottom
topography without loosing its integrity. On the spontaneous formation of a
Kelvin cat eye structure, the surface is initially undisturbed and waves are
generated from either the current-topography interaction or by a surface
pressure distribution suddenly imposed. Under the pressure forcing, an isolated
Kelvin cat eye spontaneously forms. The two extreme critical points of the cat
eye structure are connected with a stagnation segment, thus exhibiting a new
form of a critical layer.
","M. V. Flamarion,A. Nachbin,R. Ribeiro-Junior",Physics,"Fri, 28 Jun 2019 18:31:09 UTC (3,532 KB)",https://arxiv.org/pdf/1907.00029.pdf,Fluid Dynamics (physics.flu-dyn),Fluid Dynamics (physics.flu-dyn),Spontaneous critical layer formation and robustness beneath rotational waves
arXiv:1907.00030,"  One of the most surprising and exciting discoveries in supervising learning
was the benefit of overparametrization (i.e. training a very large model) to
improving the optimization landscape of a problem, with minimal effect on
statistical performance (i.e. generalization). In contrast, unsupervised
settings have been under-explored, despite the fact that it has been observed
that overparameterization can be helpful as early as Dasgupta & Schulman
(2007). In this paper, we perform an exhaustive study of different aspects of
overparameterization in unsupervised learning via synthetic and semi-synthetic
experiments. We discuss benefits to different metrics of success (held-out
log-likelihood, recovering the parameters of the ground-truth model),
sensitivity to variations of the training algorithm, and behavior as the amount
of overparameterization increases. We find that, when learning using methods
such as variational inference, larger models can significantly increase the
number of ground truth latent variables recovered.
","Rares-Darius Buhai,Andrej Risteski,Yoni Halpern,David Sontag",Statistics,"Fri, 28 Jun 2019 18:31:52 UTC (1,148 KB)",https://arxiv.org/pdf/1907.00030.pdf,Machine Learning (stat.ML),Machine Learning (cs.LG),Benefits of Overparameterization in Single-Layer Latent Variable Generative Models
arXiv:1907.00031,"  We introduce the thermodynamic variational objective (TVO) for learning in
both continuous and discrete deep generative models. The TVO arises from a key
connection between variational inference and thermodynamic integration that
results in a tighter lower bound to the log marginal likelihood than the
standard variational variational evidence lower bound (ELBO) while remaining as
broadly applicable. We provide a computationally efficient gradient estimator
for the TVO that applies to continuous, discrete, and non-reparameterizable
distributions and show that the objective functions used in variational
inference, variational autoencoders, wake sleep, and inference compilation are
all special cases of the TVO. We use the TVO to learn both discrete and
continuous deep generative models and empirically demonstrate state of the art
model and inference network learning.
","Vaden Masrani,Tuan Anh Le,Frank Wood",Computer Science,"Tue, 26 Nov 2019 21:13:25 UTC (482 KB)",https://arxiv.org/pdf/1907.00031.pdf,Machine Learning (cs.LG),Machine Learning (stat.ML),The Thermodynamic Variational Objective
arXiv:1907.00032,"  Matrix factorization methods are extensively employed to understand complex
data. In this paper, we introduce the cross-product penalized component
analysis (XCAN), a sparse matrix factorization based on the optimization of a
loss function that allows a trade-off between variance maximization and
structural preservation. The approach is based on previous developments,
notably (i) the Sparse Principal Component Analysis (SPCA) framework based on
the LASSO, (ii) extensions of SPCA to constrain both modes of the
factorization, like co-clustering or the Penalized Matrix Decomposition (PMD),
and (iii) the Group-wise Principal Component Analysis (GPCA) method. The result
is a flexible modeling approach that can be used for data exploration in a
large variety of problems. We demonstrate its use with applications from
different disciplines.
","José Camacho,Evrim Acar,Morten A. Rasmussen,Rasmus Bro",Statistics,"Fri, 28 Jun 2019 18:33:43 UTC (2,158 KB)",https://arxiv.org/pdf/1907.00032.pdf,Machine Learning (stat.ML),Machine Learning (cs.LG),Cross-product Penalized Component Analysis (XCAN)
arXiv:1907.00033,"  An independent transversal (IT) in a graph with a given vertex partition is
an independent set consisting of one vertex in each partition class. Several
sufficient conditions are known for the existence of an IT in a given graph
with a given vertex partition, which have been used over the years to solve
many combinatorial problems. Some of these IT existence theorems have
algorithmic proofs, but there remains a gap between the best bounds given by
nonconstructive results, and those obtainable by efficient algorithms.
,Recently, Graf and Haxell (2018) described a new (deterministic) algorithm
that asymptotically closes this gap, but there are limitations on its
applicability. In this paper we develop a randomized version of this algorithm
that is much more widely applicable, and demonstrate its use by giving
efficient algorithms for two problems concerning the strong chromatic number of
graphs.
","Alessandra Graf,David G. Harris,Penny Haxell",Computer Science,"Sat, 19 Oct 2019 21:44:32 UTC (24 KB)",https://arxiv.org/pdf/1907.00033.pdf,Data Structures and Algorithms (cs.DS),Discrete Mathematics (cs.DM); Combinatorics (math.CO),Algorithms for weighted independent transversals and strong colouring
arXiv:1907.00034,"  We discuss the potential of detecting thermal neutrinos from matter-rich
binary mergers, via a decades-long multi-messenger campaign involving a
Mt-scale water Cherenkov neutrino detector and one or more next generation
gravitational wave detectors, capable of observing mergers up to redshift
$z\sim 2$. The search of neutrinos in time-coincidence with gravitational wave
detections will allow to identify single neutrinos from individual mergers
above the background, and to study their distributions in energy, redshift and
type (double neutron-star or neutron-star-black hole merger) of the candidate
sources. We find that, for merger rates consistent with current LIGO-Virgo
constraints, and for a $100~{\rm Mt\cdot yr}$ exposure, between ${\mathcal
O(10^{-1})}$ and ${\mathcal O(10)}$ neutrino events are expected. For extreme
cases of mergers with more than $10^{52}$ ergs emitted in $\mathrel{{\bar
\nu}_e}$, the number of events can be as large as $\sim 100$, with sensitivity
to mergers up to redshift $z\sim 0.5$ or so. Such scenarios can already be
tested with a $10~{\rm Mt\cdot yr}$ exposure, resulting in constraints on the
post-merger evolution of the systems being considered.
","Zidu Lin,Cecilia Lunardini",Astrophysics,"Fri, 28 Jun 2019 18:47:37 UTC (630 KB)",https://arxiv.org/pdf/1907.00034.pdf,High Energy Astrophysical Phenomena (astro-ph.HE),High Energy Astrophysical Phenomena (astro-ph.HE),Observing cosmological binary mergers with next generation neutrino and gravitational wave detectors
arXiv:1907.00035,"  We identify putatively maximally dense packings of tangent-sphere trimers
with fixed bond angles ($\theta = \theta_0$) using a novel method, and contrast
them to the disordered jammed states they form under quasistatic and dynamic
athermal compression. Incommensurability of $\theta_0$ with 3D close-packing
does not by itself inhibit formation of dense 3D crystals; all $\theta_0$ allow
formation of crystals with $\phi_{max}(\theta_0) > 0.97\phi_{cp}$. Trimers are
always able to arrange into periodic structures composed of close-packed
bilayers or trilayers of triangular-lattice planes, separated by ``gap layers''
that accomodate the incommensurability. All systems have $\phi_J$ significantly
below the monomeric value, indicating that trimers' quenched bond-length and
bond-angle constraints always act to promote jamming. $\phi_J$ varies strongly
with $\theta_0$; straight ($\theta_0 = 0$) trimers minimize $\phi_J$ while
closed ($\theta_0 = 120^\circ$) trimers maximize it. Marginally jammed states
of trimers with lower $\phi_J(\theta_0)$ exhibit quantifiably greater disorder,
and the lower $\phi_J$ for small $\theta_0$ is apparently caused by trimers'
decreasing effective configurational freedom as they approach linearity.
","Austin D. Griffith,Robert S. Hoy",Condensed Matter,"Fri, 28 Jun 2019 18:50:25 UTC (2,997 KB)",https://arxiv.org/pdf/1907.00035.pdf,Soft Condensed Matter (cond-mat.soft),Soft Condensed Matter (cond-mat.soft),Densest versus jammed packings of bent-core trimers
arXiv:1907.00036,"  Hyperparameter tuning is the main challenge of machine learning (ML)
algorithms. Grid search is a popular method in hyperparameter tuning of simple
ML algorithms; however, high computational complexity in complex ML algorithms
such as Deep Neural Networks (DNN) is the main barrier towards its practical
implementation. In this paper, two novel suboptimal grid search methods are
presented, which search the grid marginally and alternating. In order to
examine these methods, hyperparameter tuning is applied on two different DNN
based Optical Communication (OC) systems (Fiber OC, and Free Space Optical
(FSO) communication). The hyperparameter tuning of ML algorithms, despite its
importance is ignored in ML for OC investigations. In addition, this is the
first consideration of both FSO and Fiber OC systems in an ML for OC
investigation. Results indicate that despite greatly reducing computation load,
favorable performance could be achieved by the proposed methods. In addition,
it is shown that the alternating search method has better performance than
marginal grid search method. In sum, the proposed structures are
cost-effective, and appropriate for real-time applications.
",M. A. Amirabadi,Electrical Engineering and Systems Science,"Wed, 26 Jun 2019 01:16:22 UTC (627 KB)",https://arxiv.org/pdf/1907.00036.pdf,Signal Processing (eess.SP),Signal Processing (eess.SP),Novel Suboptimal approaches for Hyperparameter Tuning of Deep Neural Network [under the shelf of Optical Communication]
arXiv:1907.00037,"  This paper proposes a three-dimensional (3D) communication channel model for
an indoor environment considering the effect of the Hypersurface. The
Hypersurface is a software controlled intelligent metasurface, which can be
used to manipulate electromagnetic waves, as for example for non-specular
reflection and full absorption. Thus it can control the impinging rays from a
transmitter towards a receiver location in both LOS and NLOS paths, e.g. to
combat distance and improve wireless connectivity. We focus on the 60 GHz
mmWave frequency band due to its increasing significance in 5G/6G networks and
evaluate the effect of Hypersurface in an indoor environment in terms of
attenuation coefficients related to the Hypersurface reflection and absorption
functionalities, using CST simulation, a 3D electromagnetic simulator of high
frequency components. To highlight the benefits of Hypersurface coated walls
versus plain walls, we use the derived Hypersurface 3D channel model and a
custom 3D ray-tracing simulator for plain walls considering a typical indoor
scenario for different Tx-Rx location and separation distances.
","Rashi Mehrotra,Rafay Iqbal Ansari,Alexandros Pitilakis,Shuai Nie,Christos Liaskos,Nikolaos V. Kantartzis,Andreas Pitsillides",Electrical Engineering and Systems Science,"Fri, 28 Jun 2019 18:54:19 UTC (607 KB)",https://arxiv.org/pdf/1907.00037.pdf,Signal Processing (eess.SP),Information Theory (cs.IT),3D Channel Modeling and Characterization for Hypersurface Empowered Indoor Environment at 60 GHz Millimeter-Wave Band
arXiv:1907.00038,"  We tested in a live setting the use of active learning for selecting text
sentences for human annotations used in training a Thai segmentation machine
learning model. In our study, two concurrent annotated samples were
constructed, one through random sampling of sentences from a text corpus, and
the other through model-based scoring and ranking of sentences from the same
corpus. In the course of the experiment, we observed the effect of significant
changes to the learning environment which are likely to occur in real-world
learning tasks. We describe how our active learning strategy interacted with
these events and discuss other practical challenges encountered in using active
learning in the live setting.
","Jean-François Kagy,Tolga Kayadelen,Ji Ma,Afshin Rostamizadeh,Jana Strnadova",Computer Science,"Fri, 28 Jun 2019 18:56:20 UTC (46 KB)",https://arxiv.org/pdf/1907.00038.pdf,Machine Learning (cs.LG),Machine Learning (stat.ML),The Practical Challenges of Active Learning: Lessons Learned from Live Experimentation
arXiv:1907.00039,"  This article presents a new algorithm for short-term maritime collision
avoidance (COLAV) named the branching-course MPC (BC-MPC) algorithm. The
algorithm is designed to be robust with respect to noise on obstacle estimates,
which is a significant source of disturbance when using exteroceptive sensors
such as e.g. radars for obstacle detection and tracking. Exteroceptive sensors
do not require vessel-to-vessel communication, which enables COLAV toward
vessels not equipped with e.g. automatic identification system (AIS)
transponders, in addition to increasing the robustness with respect to faulty
information which may be provided by other vessels. The BC-MPC algorithm is
compliant with rules 8 and 17 of the International Regulations for Preventing
Collisions at Sea (COLREGs), and favors maneuvers following rules 13-15. This
results in a COLREGs-aware algorithm which can ignore rules 13-15 when
necessary. The algorithm is experimentally validated in several full-scale
experiments in the Trondheimsfjord in 2017 using a radar-based system for
obstacle detection and tracking. The COLAV experiments show good performance in
compliance with the desired algorithm behavior.
","Bjørn-Olav H. Eriksen,Morten Breivik,Erik F. Wilthil,Andreas L. Flåten,Edmund F. Brekke",Electrical Engineering and Systems Science,"Fri, 28 Jun 2019 18:56:31 UTC (4,042 KB)",https://arxiv.org/pdf/1907.00039.pdf,Systems and Control (eess.SY),Systems and Control (eess.SY),The Branching-Course MPC Algorithm for Maritime Collision Avoidance
arXiv:1907.00040,"  We report on a combined experimental and theoretical investigation into the
normal modes of an all-fiber coupled cavity-quantum-electrodynamics system. The
interaction between atomic ensembles and photons in the same cavities, and that
between the photons in these cavities and the photons in the fiber connecting
these cavities, generates five non-degenerate normal modes. We demonstrate our
ability to excite each normal mode individually. We study particularly the
`cavity dark mode', in which the two cavities coupled directly to the atoms do
not exhibit photonic excitation. Through the observation of this mode, we
demonstrate remote excitation and nonlocal saturation of atoms.
","Donald H. White,Shinya Kato,Nikolett Nemet,Scott Parkins,Takao Aoki",Quantum Physics,"Fri, 28 Jun 2019 18:58:50 UTC (2,074 KB)",https://arxiv.org/pdf/1907.00040.pdf,Quantum Physics (quant-ph),Quantum Physics (quant-ph),Cavity dark mode of distant coupled atom-cavity systems
arXiv:1907.00041,"  We report a first-principles study of Bi-based 3$d$-5$d$ ordered double
perovskite oxides (A$_2$BB$^\prime$O$_6$) with a 3$d$ atom (Fe) at the B-site
and 5$d$ atoms (Re,Ir) at the B$^\prime$-site while keeping highly polarizable
ions (Bi$^{3+}$) at the A-site. We find that, under coherent heteroepitaxy,
Bi$_2$FeReO$_6$} exhibits a strain-driven anti-ferromagnetic insulator to
ferrimagnetic semi-metal transition, while Bi$_2$FeIrO$_6$ shows correlation
driven ferromagnetic insulator to ferrimagnetic half-metal transition with
calculated magnetic moments of 5 $\mu_B$/f.u. and 3 $\mu_B$/f.u., respectively.
These properties along with the low band gaps in the insulating phases make the
compounds appealing for spintronics applications. Furthermore, in
Bi$_2$FeIrO$_6$, the conduction and valence states are localized on different
transition metal sublattices implying more efficient electron-hole separation
upon photoexcitation, a desirable feature for photovoltaic applications.
","Paresh C. Rout,Varadharajan Srinivasan",Condensed Matter,"Fri, 28 Jun 2019 19:04:25 UTC (2,062 KB)",https://arxiv.org/pdf/1907.00041.pdf,Materials Science (cond-mat.mtrl-sci),Materials Science (cond-mat.mtrl-sci),"Exploring the structural , electronic and magnetic properties of cation ordered 3d-5d double perovskite Bi$_2$FeReO$_6$ and Bi$_2$FeIrO$_6$ thin-films from first-principles"
arXiv:1907.00042,"  Rhythm Dungeon is a rhythm game which leverages the blockchain as a shared
open database. During the gaming session, the player explores a roguelike
dungeon by inputting specific sequences in time to music rhythm. By integrating
smart contract to the game program, the enemies through the venture are
generated from other games which share the identical blockchain. On the other
hand, the player may upload their characters at the end of their journey, so
that their own character may appear in other games and make an influence.
Rhythm Dungeon is designed and implemented to show the potential of
decentralized gaming experience, which utilizes the blockchain to provide
asynchronous interactions among massive players.
","Tengfei Wang,Shuyi Zhang,Xiao Wu,Wei Cai",Computer Science,"Fri, 28 Jun 2019 19:05:53 UTC (419 KB)",https://arxiv.org/pdf/1907.00042.pdf,Multimedia (cs.MM),Human-Computer Interaction (cs.HC),Rhythm Dungeon: A Blockchain-based Music Roguelike Game
arXiv:1907.00043,"  Density-reconstruction sharpens the baryon acoustic oscillations signal by
undoing some of the smoothing incurred by nonlinear structure formation. In
this paper we present an analytical model for reconstruction based on the
Zeldovich approximation, which for the first time includes a complete set of
counterterms and bias terms up to quadratic order and can fit real and
redshift-space data pre- and post-reconstruction data in both Fourier and
configuration space over a wide range of scales. We compare our model to n-body
data at $z = 0$ from the {\tt DarkSky} simulation \cite{skillman14}, finding
sub-percent agreement in both real space and in the redshift-space power
spectrum monopole out to $k = 0.4\ h$ Mpc$^{-1}$, and out to $k = 0.2\ h$
Mpc$^{-1}$ in the quadrupole, with comparable agreement in configuration space.
We compare our model with several popular existing alternatives, updating
existing theoretical results for exponential damping in wiggle/no-wiggle splits
of the BAO signal and discuss the usually-ignored effect of higher bias
contributions on the reconstructed signal. In the appendices, we re-derive the
former within our formalism, present exploratory results on higher-order
corrections due to nonlinearities inherent to reconstruction, and present
numerical techniques with which to calculate the redshift-space power spectrum
of biased tracers within the Zeldovich approximation.
","Shi-Fan Chen,Zvonimir Vlah,Martin White",Astrophysics,"Wed, 4 Sep 2019 18:47:50 UTC (1,111 KB)",https://arxiv.org/pdf/1907.00043.pdf,Cosmology and Nongalactic Astrophysics (astro-ph.CO),Cosmology and Nongalactic Astrophysics (astro-ph.CO),The Reconstructed Power Spectrum in the Zeldovich Approximation
arXiv:1907.00044,"  We present a simple construction for a tridiagonal matrix $T$ that commutes
with the hopping matrix for the entanglement Hamiltonian ${\cal H}$ of open
finite free-Fermion chains associated with families of discrete orthogonal
polynomials. It is based on the notion of algebraic Heun operator attached to
bispectral problems, and the parallel between entanglement studies and the
theory of time and band limiting. As examples, we consider Fermionic chains
related to the Chebychev, Krawtchouk and dual Hahn polynomials. For the former
case, which corresponds to a homogeneous chain, the outcome of our construction
coincides with a recent result of Eisler and Peschel; the latter cases yield
commuting operators for particular inhomogeneous chains. Since $T$ is
tridiagonal and non-degenerate, it can be readily diagonalized numerically,
which in turn can be used to calculate the spectrum of ${\cal H}$, and
therefore the entanglement entropy.
","Nicolas Crampé,Rafael I. Nepomechie,Luc Vinet",Condensed Matter,"Wed, 14 Aug 2019 13:50:04 UTC (19 KB)",https://arxiv.org/pdf/1907.00044.pdf,Statistical Mechanics (cond-mat.stat-mech),Mathematical Physics (math-ph),Free-Fermion entanglement and orthogonal polynomials
arXiv:1907.00045,"  The ability to entangle distant quantum nodes is essential for the
construction of quantum networks and for quantum information processing. For
solid-state quantum emitters used as qubits, it can be achieved by photon
interference. When the emitter is subject to spectral diffusion, this process
can become highly inefficient, impeding the achievement of scalable quantum
technologies. We study two-photon interference in the context of a
Hong-Ou-Mandel (HOM)-type experiment for two separate quantum emitters, with
different detunings with respect to a specific target frequency. We evaluate
the second order coherences that characterize photon indistinguishability
between the two emitters. We find that the two-photon interference operation
that is inefficient in the absence of a control protocol, when the two
detunings are different and spectral overlap is lessened, can be highly
improved by a periodic sequence of $\pi$ pulses at a set target frequency.
Photon indistinguishability in solid state and other quantum emitters subject
to spectral diffusion can thus be enhanced by the proposed pulse sequence and
similar external control protocols despite the fluctuations in the environment.
",Herbert F Fotso,Quantum Physics,"Fri, 28 Jun 2019 19:19:58 UTC (244 KB)",https://arxiv.org/pdf/1907.00045.pdf,Quantum Physics (quant-ph),Quantum Physics (quant-ph),Pulse-Enhanced Two-Photon Interference with Solid State Quantum Emitters
arXiv:1907.00046,"  We study static, spherically symmetric vacuum solutions to Quadratic Gravity,
extending considerably our previous Rapid Communication [Phys. Rev. D 98,
021502(R) (2018)] on this topic. Using a conformal-to-Kundt metric ansatz, we
arrive at a much simpler form of the field equations in comparison with their
expression in the standard spherically symmetric coordinates. We present
details of the derivation of this compact form of two ordinary differential
field equations for two metric functions. Next, we apply analytical methods and
express their solutions as infinite power series expansions. We systematically
derive all possible cases admitted by such an ansatz, arriving at six main
classes of solutions, and provide recurrent formulas for all the series
coefficients. These results allow us to identify the classes containing the
Schwarzschild black hole as a special case. It turns out that one class
contains only the Schwarzschild black hole, three classes admit the
Schwarzschild solution as a special subcase, and two classes are not compatible
with the Schwarzschild solution at all since they have strictly nonzero Bach
tensor. In our analysis, we naturally focus on the classes containing the
Schwarzschild spacetime, in particular on a new family of the
Schwarzschild-Bach black holes which possesses one additional non-Schwarzschild
parameter corresponding to the value of the Bach tensor invariant on the
horizon. We study its geometrical and physical properties, such as basic
thermodynamical quantities and tidal effects on free test particles induced by
the presence of the Bach tensor. We also compare our results with previous
findings in the literature obtained using the standard spherically symmetric
coordinates.
","Jiri Podolsky,Robert Svarc,Vojtech Pravda,Alena Pravdova",General Relativity and Quantum Cosmology,"Fri, 26 Jul 2019 13:27:38 UTC (528 KB)",https://arxiv.org/pdf/1907.00046.pdf,General Relativity and Quantum Cosmology (gr-qc),High Energy Physics - Theory (hep-th),Black holes and other exact spherical solutions in Quadratic Gravity
